"","fastq_ID","input","filtered","denoisedF","denoisedR","merged","nonchim","tax_reads","decon_reads"
"109","e05659_D",10373,9078,10,33,8,8,8,0
"110","e05659_E",10040,8726,8675,8554,0,0,0,0
"111","e05659_F",7875,6818,33,31,27,27,0,0
"112","e05660_D",12467,10874,16,11,10,10,0,0
"113","e05660_E",12198,10659,10609,92,0,0,0,0
"114","e05660_F",8917,7789,7583,39,35,35,0,0
"115","e05661_D",10787,9445,9391,9379,0,0,0,0
"116","e05661_E",10472,9248,9044,54,52,52,52,0
"117","e05661_F",7373,6438,8,8,8,8,0,0
"118","e05662_D",6394,5619,13,5555,9,9,9,0
"119","e05662_E",8191,7193,7112,6555,0,0,0,0
"120","e05662_F",5689,5018,4967,30,7,7,0,0
"121","e05663_D",6212,5433,8,5345,0,0,0,0
"122","e05663_E",7706,6758,26,6581,0,0,0,0
"123","e05663_F",6371,5592,12,14,9,9,9,0
"124","e05664_D",10886,9647,9608,9596,0,0,0,0
"125","e05664_E",8252,7275,1245,1238,1235,1235,1220,1220
"126","e05664_F",7529,6625,6574,6567,0,0,0,0
"127","e05665_D",67754,60336,59930,59178,58722,58441,58441,58441
"128","e05665_E",11577,10126,9875,34,23,23,23,0
"129","e05665_F",9308,8174,7990,33,21,21,21,0
"130","e05666_D",55947,49604,49415,49412,49182,48914,48914,48914
"131","e05666_E",9783,8619,1697,1698,1693,1693,1693,1693
"132","e05666_F",8261,7259,19,18,7,7,7,0
"133","e05667_D",2441,2124,2107,2038,0,0,0,0
"134","e05667_E",2657,2285,6,2223,0,0,0,0
"135","e05667_F",3224,2806,2780,2680,0,0,0,0
"136","e05668_D",11114,9744,9695,4903,0,0,0,0
"137","e05668_E",10434,9087,9025,8946,0,0,0,0
"138","e05668_F",8335,7273,7176,6802,0,0,0,0
"139","e05669_D",6724,5920,5218,5877,0,0,0,0
"140","e05669_E",7717,6812,53,6708,44,44,44,0
"141","e05669_F",5700,5014,4975,4953,0,0,0,0
"142","e05670_D",6063,5375,5358,5320,0,0,0,0
"143","e05670_E",7480,6638,11,17,11,11,11,0
"144","e05670_F",5187,4564,20,21,17,17,17,0
"145","e05671_D",6367,5540,5346,29,4,4,4,0
"146","e05671_E",7680,6754,6555,3,0,0,0,0
"147","e05671_F",5801,5111,19,4994,0,0,0,0
"148","e05672_D",9796,8580,8360,14,9,9,9,0
"149","e05672_E",54523,48511,48295,48296,48030,47517,47517,47517
"150","e05672_F",7721,6707,11,9,8,8,8,0
"151","e05673_D",11706,10283,3,122,0,0,0,0
"152","e05673_E",10299,9046,55,16,7,7,7,0
"153","e05673_F",8267,7146,6862,6883,50,50,31,0
"154","e05674_D",9210,8046,9,47,0,0,0,0
"155","e05674_E",9731,8462,8376,2,0,0,0,0
"156","e05674_F",7744,6685,75,44,0,0,0,0
"157","e05675_D",52818,47157,47024,46936,46749,46071,46071,46071
"158","e05675_E",9593,8453,8184,36,9,9,0,0
"159","e05675_F",59922,53544,53163,53424,53004,52065,52065,52065
"160","e05676_D",9989,8719,8626,8526,0,0,0,0
"161","e05676_E",9371,8267,7,28,4,4,0,0
"162","e05676_F",7014,6057,5750,97,10,10,0,0
"163","e05677_D",46491,41548,41174,41293,40875,38552,38552,38552
"164","e05677_E",53740,47841,47680,47621,47409,47112,47112,47112
"165","e05677_F",50474,45001,44666,44677,44341,43480,43480,43480
"166","e05678_D",6035,5341,17,5230,15,15,15,0
"167","e05678_E",46839,41753,41298,41437,40972,40711,40711,40711
"168","e05678_F",44449,39526,39106,39396,39000,38757,38757,38757
"169","e05679_D",8597,7514,14,32,14,14,14,0
"170","e05679_E",39991,35594,33885,33923,33506,31101,31101,31101
"171","e05679_F",33873,30228,30067,29999,29635,25965,25965,25965
"172","e05680_D",35310,31467,31312,31101,30926,29243,29243,29243
"173","e05680_E",36513,32452,32277,32071,31644,29014,29014,29014
"174","e05680_F",33659,29888,29626,29687,29405,29262,28478,28478
"175","e05681_D",24291,21787,21777,21672,21355,19240,19240,19240
"176","e05681_E",9344,8267,3409,3467,3385,3385,3385,3385
"177","e05681_F",4976,4389,1282,1275,1273,1273,1273,1273
"178","e05682_D",34035,30187,29997,29717,29179,26309,26309,26309
"179","e05682_E",47890,42425,42052,42254,41878,41694,41694,41694
"180","e05682_F",7030,6096,31,34,28,28,28,0
"181","e05683_D",9744,8496,14,12,0,0,0,0
"182","e05683_E",10943,9504,9444,9332,0,0,0,0
"183","e05683_F",7628,6604,25,33,25,25,25,0
"184","e05684_D",8882,7780,18,14,7,7,7,0
"185","e05684_E",9285,8141,24,24,16,16,16,0
"186","e05684_F",52281,46603,46423,46419,46170,45878,45878,45878
"187","e05685_D",43521,38746,38360,38448,38059,37895,37895,37895
"188","e05685_E",8922,7798,38,41,33,33,33,0
"189","e05685_F",6729,5894,42,21,19,19,19,0
"190","e05686_D",5234,4547,14,4466,0,0,0,0
"191","e05686_E",6554,5717,10,21,10,10,0,0
"192","e05686_F",4562,3953,10,13,9,9,9,0
"193","e05687_D",7371,6403,6324,6191,0,0,0,0
"194","e05687_E",7170,6224,4,3,3,3,0,0
"195","e05687_F",5759,5002,5,5,5,5,0,0
"196","e05688_D",7607,6718,6309,6574,0,0,0,0
"197","e05688_E",7593,6671,6619,6556,0,0,0,0
"198","e05688_F",6531,5768,5625,5622,0,0,0,0
"199","e05689_D",7978,6992,4,7,4,4,4,0
