"","fastq_ID","input","filtered","denoisedF","denoisedR","merged","correct_length","nonchim","tax_reads","decon_reads"
"102","e05656_C",2311,2046,2031,2037,3,3,3,0,0
"103","e05657_A",747,668,654,655,588,588,588,0,0
"104","e05657_B",633,574,549,562,30,30,30,6,0
"105","e05657_C",30047,26955,26936,26748,26639,26639,26634,26391,26391
"106","e05658_A",94,84,80,84,11,11,11,0,0
"107","e05658_B",430,379,361,364,124,124,124,0,0
"108","e05658_C",842,754,737,742,2,2,2,0,0
"109","e05659_A",386,341,333,337,289,289,289,0,0
"110","e05659_B",305,276,272,271,10,10,10,0,0
"111","e05659_C",205,180,174,169,56,56,56,0,0
"112","e05660_A",32,27,26,22,8,8,8,0,0
"113","e05660_B",5408,4861,4844,4796,4692,4692,4692,4650,4650
"114","e05660_C",177,161,151,23,0,0,0,0,0
"115","e05661_A",36535,32986,32976,32969,32901,32901,32901,32896,32896
"116","e05661_B",2276,2076,2063,2067,1932,1932,1932,10,0
"117","e05661_C",354,318,306,310,153,153,153,4,0
"118","e05662_A",941,849,832,839,831,831,831,0,0
"119","e05662_B",56,49,46,45,0,0,0,0,0
"120","e05662_C",365,330,317,328,201,201,201,0,0
"121","e05663_A",1032,925,917,918,886,886,886,4,0
"122","e05663_B",10908,9860,9854,9844,9770,9770,9770,9756,9756
"123","e05663_C",23305,21023,20840,21011,20800,20800,20217,20043,20043
"124","e05664_A",510,453,440,445,226,226,226,0,0
"125","e05664_B",62,57,53,52,18,11,11,0,0
"126","e05664_C",242,221,213,218,169,169,169,81,0
"127","e05665_A",221,199,179,178,143,37,37,0,0
"128","e05665_B",238,209,194,196,146,146,146,0,0
"129","e05665_C",389,348,334,340,323,323,323,3,0
"130","e05666_A",18687,16802,16781,16769,16740,16740,16739,16139,16139
"131","e05666_B",14643,13223,13177,13202,12784,12784,12742,7,0
"132","e05666_C",27270,24346,24339,24323,24278,24278,24275,24275,24275
"133","e05667_B",7,7,3,1,0,0,0,0,0
"134","e05667_C",8,8,7,7,7,0,0,0,0
"135","e05668_A",2,2,1,1,0,0,0,0,0
"136","e05668_B",2,2,1,1,0,0,0,0,0
"137","e05668_C",1817,1609,1605,1598,0,0,0,0,0
"138","e05669_A",42,40,38,35,35,35,35,5,0
"139","e05669_B",9281,8375,8370,8363,8334,8334,8334,8334,8334
"140","e05669_C",22142,19951,19948,19930,19924,19924,19924,19924,19924
"141","e05670_A",4,4,2,2,2,2,2,2,0
"142","e05670_B",30,28,25,20,20,20,20,0,0
"143","e05670_C",12300,11025,11023,11003,11002,11002,11002,11002,11002
"144","e05671_A",24782,22446,22389,22398,22159,22159,22159,22047,22047
"145","e05671_B",80,67,51,56,0,0,0,0,0
"146","e05671_C",21403,19299,19292,19274,19235,19235,19235,19103,19103
"147","e05672_A",511,467,450,453,375,375,375,8,0
"148","e05672_B",16536,14937,14809,14753,12473,12473,12470,12470,12470
"149","e05672_C",115,109,99,102,80,80,80,0,0
"150","e05673_A",532,482,463,461,377,17,17,7,0
"151","e05673_B",39767,35788,35742,35696,35460,35460,35387,35387,35387
"152","e05673_C",153,135,108,118,10,10,10,10,0
"153","e05674_A",22130,19887,19879,19748,19705,19705,19705,19705,19705
"154","e05674_B",543,477,451,462,2,0,0,0,0
"155","e05674_C",1619,1416,1397,1393,0,0,0,0,0
"156","e05675_A",43205,38803,38785,38747,38682,38682,38523,38456,38456
"157","e05675_B",35387,31757,31638,31519,31213,31213,31185,12179,12179
"158","e05675_C",55477,49440,49404,49308,49077,49077,48443,48443,48443
"159","e05676_A",112,102,86,92,5,5,5,5,0
"160","e05676_B",39649,35649,35628,35562,35351,35351,35212,34977,34977
"161","e05676_C",23119,20653,20639,20624,20615,20475,20475,20401,20401
"162","e05677_A",79336,71755,71465,71339,71011,71009,71009,71009,71009
"163","e05677_B",50254,45232,45006,45179,44890,44890,44890,44890,44890
"164","e05677_C",49545,44521,44476,44425,44277,44277,44019,43940,43940
"165","e05678_A",45306,41066,41055,40889,40785,40785,40401,40397,40397
"166","e05678_B",38862,35226,35204,35096,34834,34834,34401,33839,33839
"167","e05678_C",28952,26098,26090,26072,26042,26042,26036,26036,26036
"168","e05679_A",23656,21478,21430,21411,21338,20814,20812,20738,20738
"169","e05679_B",28269,25545,25536,25522,25503,25503,25503,25455,25455
"170","e05679_C",19162,17285,17275,17259,17216,17216,17216,17199,17199
"171","e05680_A",17845,16143,16135,16121,16103,16103,15994,15982,15982
"172","e05680_B",18709,16923,16811,16775,14446,14446,14403,14403,14403
"173","e05680_C",85,73,66,67,6,6,6,6,0
"174","e05681_A",43177,38541,38356,38399,37899,37899,37494,37444,37444
"175","e05681_B",29310,26187,26172,26125,26073,26073,25897,25897,25897
"176","e05681_C",18351,16293,16283,16260,16211,16211,16211,16211,16211
"177","e05682_A",31371,28297,28286,28267,28217,28217,28217,28217,28217
"178","e05682_B",30920,27830,27685,27707,27238,27238,27088,27065,27065
"179","e05682_C",27343,24478,24467,24458,24402,24402,24402,24362,24362
"180","e05683_A",60677,54674,54557,54647,54485,54475,54446,54426,54426
"181","e05683_B",39780,35883,35795,35785,35542,35542,35499,35425,35425
"182","e05683_C",296,255,252,245,232,232,232,224,0
"183","e05684_A",41510,37497,37495,37482,37435,37435,37435,37412,37412
"184","e05684_B",206,170,164,141,141,141,141,0,0
"185","e05684_C",111,103,88,98,11,11,11,11,0
"186","e05685_A",12462,10954,10474,10774,7352,7244,7244,7244,7244
"187","e05685_B",43368,39132,39060,38987,38592,38592,38202,38192,38192
"188","e05685_C",14305,12806,12775,12782,12757,12757,12708,12310,12310
"189","e05686_A",32160,29049,28958,28610,28200,28200,28101,19852,19852
"190","e05686_B",14372,12989,12983,12973,12858,12849,12849,12849,12849
"191","e05686_C",28,25,18,20,18,18,18,8,0
"192","e05687_A",85,70,63,53,0,0,0,0,0
"193","e05687_B",24178,21816,21808,21798,21765,21765,21765,21765,21765
"194","e05687_C",72,62,48,51,0,0,0,0,0
"195","e05688_A",104,92,78,86,37,37,37,0,0
"196","e05688_B",405,373,365,365,15,0,0,0,0
"197","e05688_C",199,178,171,173,144,0,0,0,0
"198","e05689_A",30397,27279,27269,27263,27225,27225,27225,27225,27225
"199","e05689_B",25,23,19,19,11,11,11,11,0
"200","e05689_C",47,43,34,35,0,0,0,0,0
"201","e05690_A",9,8,2,1,0,0,0,0,0
"202","e05690_B",17045,15411,15275,15367,15000,15000,14874,11769,11769
"203","e05690_C",31,28,22,21,2,2,2,2,0
"204","e05691_A",32,28,20,21,5,5,5,5,0
"205","e05691_B",18390,16340,16326,16278,16270,16270,14413,14408,14408
"206","e05691_C",40728,36030,35759,35266,35173,35173,34979,34979,34979
"207","e05692_A",34159,30702,30682,30675,30630,30630,30630,30630,30630
"208","e05692_B",1032,922,906,899,634,634,634,14,0
"209","e05692_C",24136,21585,21577,21561,21514,21514,21514,21514,21514
"210","e05693_A",37387,33746,33621,33661,33468,33468,33381,33381,33381
"211","e05693_B",8581,7753,7747,7729,7712,7712,7187,7059,7059
"212","e05693_C",36897,33087,33075,33053,33028,33028,33028,33028,33028
"213","e05694_A",21,18,9,9,7,7,7,7,0
"214","e05694_B",39,35,28,28,5,5,5,5,0
"215","e05694_C",34417,30969,30740,30846,30518,30518,30360,30224,30224
"216","e05695_A",33,30,19,24,0,0,0,0,0
"217","e05695_B",20411,18445,18440,18428,18172,18172,18172,18172,18172
"218","e05695_C",125,109,97,102,66,0,0,0,0
"219","e05696_A",25,24,22,20,0,0,0,0,0
"220","e05696_B",6348,5678,5600,5505,3369,3369,3369,3369,3369
"221","e05696_C",147,124,121,120,113,106,106,0,0
"222","e05697_A",27,23,16,20,6,6,6,0,0
"223","e05697_B",7,7,6,6,6,6,6,6,0
"224","e05697_C",118,111,110,110,110,110,110,0,0
"225","e05698_A",4027,3612,3607,3603,3603,3603,3595,2,0
"226","e05698_B",4633,3981,3719,3890,3424,17,17,0,0
"227","e05698_C",6,3,1,1,0,0,0,0,0
"228","e05699_A",48,39,33,30,8,8,8,2,0
"229","e05699_B",538,482,467,187,162,9,9,0,0
"230","e05699_C",27367,24617,24609,24597,24577,24577,24576,24526,24526
"231","e05700_A",4,4,1,2,0,0,0,0,0
"232","e05700_B",59,56,52,48,44,44,44,0,0
"233","e05700_C",161,140,138,97,94,94,94,2,0
"234","e05701_A",15,15,12,12,9,9,9,0,0
"235","e05701_B",2282,2026,2022,2024,2006,2006,2006,0,0
"236","e05701_C",3672,3293,3287,3286,3274,3274,3274,0,0
"237","e05702_A",22,19,15,17,12,12,12,0,0
"238","e05702_B",29,28,24,24,24,24,24,0,0
"239","e05702_C",12147,10923,10910,10908,10876,10876,10826,10098,10098
"240","NC_A",2,2,1,1,0,0,0,0,0
"241","NC_B",2,2,1,1,1,1,1,1,0
"242","NC_C",60,57,57,57,57,57,57,0,0
"243","PC_A",50390,45669,45661,45622,44838,44838,44795,44121,44121
"244","PC_B",42450,38327,38316,38267,37392,37392,37358,36767,36767
"245","PC_C",36134,32665,32661,32631,32594,32594,32594,31994,31994
