"","fastq_ID","input","filtered","denoisedF","denoisedR","merged","correct_length","nonchim","tax_reads","decon_reads"
"217","e01116_A",1211,1194,1110,1150,654,578,578,0,0
"218","e01116_B",20662,20595,20097,20304,19556,19556,19556,19334,19334
"219","e01116_C",16072,15888,15417,15586,14042,14020,14013,8163,8163
"220","e01116_D",14591,14485,14218,14301,13819,13819,13819,10564,10564
"221","e01116_E",2738,2727,2652,2433,2397,2397,2397,1756,1756
"222","e01116_F",2151,2143,2108,2127,2095,2017,2017,7,0
"223","e01117_A",447,442,415,432,359,359,359,0,0
"224","e01117_B",14138,14054,13832,13373,13180,13180,13023,0,0
"225","e01117_C",7925,7840,7672,7773,6862,6862,6862,0,0
"226","e01117_D",17607,17455,17255,17302,16623,16616,16616,15384,15384
"227","e01117_E",845,837,759,164,160,160,160,0,0
"228","e01117_F",9102,9073,9047,9038,9022,9022,9022,8990,8990
"229","e01118_A",8173,8142,8041,8073,7885,7885,7885,6754,6754
"230","e01118_B",16811,16756,16604,16487,16114,16114,16107,16028,16028
"231","e01118_C",9352,9232,8883,9039,7793,7288,7288,7020,7020
"232","e01118_D",7510,7445,7338,7219,6926,6926,6926,6452,6452
"233","e01118_E",3613,3601,3526,3532,3066,3045,3045,2878,2878
"234","e01118_F",4581,4571,4471,4467,4379,4379,4379,0,0
"235","e01119_A",5160,5130,4963,5034,4824,4824,4824,3581,3581
"236","e01119_B",9032,9005,8948,8930,8893,8718,8718,8422,8422
"237","e01119_C",5669,5594,5279,5421,3621,3621,3621,2865,2865
"238","e01119_D",9845,9748,9557,9615,9177,9177,9177,6950,6950
"239","e01119_E",772,759,692,712,242,242,242,0,0
"240","e01119_F",4938,4909,4851,4853,4814,4814,4814,4347,4347
"241","NegCon_B",3,3,2,1,0,0,0,0,0
"242","NegCon_D",6,5,1,1,0,0,0,0,0
"243","NegCon_F",30,28,7,11,0,0,0,0,0
"244","PosCon_B",25135,25069,25016,24903,24827,24827,24827,24827,24827
"245","PosCon_D",21781,21628,21565,21461,21426,21426,21426,21426,21426
"246","PosCon_F",16189,16157,16104,15986,15928,15928,15928,15928,15928
