"","input","filtered","denoisedF","denoisedR","merged","correct_length","nonchim"
"e05666-C",27270,24346,24339,24323,24278,24278,24275
"e05667-B",7,7,3,1,0,0,0
"e05667-C",8,8,7,7,7,0,0
"e05668-A",2,2,1,1,0,0,0
"e05668-B",2,2,1,1,0,0,0
"e05668-C",1817,1609,1605,1598,0,0,0
"e05669-A",42,40,38,35,35,35,35
"e05669-B",9281,8375,8370,8363,8334,8334,8334
"e05669-C",22142,19951,19948,19930,19924,19924,19924
"e05670-A",4,4,2,2,2,2,2
"e05670-B",30,28,25,20,20,20,20
"e05670-C",12300,11025,11023,11003,11002,11002,11002
"e05671-A",24782,22446,22389,22398,22159,22159,22159
"e05671-B",80,67,51,56,0,0,0
"e05671-C",21403,19299,19292,19274,19235,19235,19235
"e05672-A",511,467,450,453,375,375,375
"e05672-B",16536,14937,14809,14753,12473,12473,12470
"e05672-C",115,109,99,102,80,80,80
"e05673-A",532,482,463,461,377,17,17
"e05673-B",39767,35788,35742,35696,35460,35460,35387
"e05673-C",153,135,108,118,10,10,10
"e05674-A",22130,19887,19879,19748,19705,19705,19705
"e05674-B",543,477,451,462,2,0,0
"e05674-C",1619,1416,1397,1393,0,0,0
"e05675-A",43205,38803,38785,38747,38682,38682,38523
"e05675-B",35387,31757,31638,31519,31213,31213,31185
"e05675-C",55477,49440,49404,49308,49077,49077,48443
"e05676-A",112,102,86,92,5,5,5
"e05676-B",39649,35649,35628,35562,35351,35351,35212
"e05676-C",23119,20653,20639,20624,20615,20475,20475
"e05677-A",79336,71755,71465,71339,71011,71009,71009
"e05677-B",50254,45232,45006,45179,44890,44890,44890
"e05677-C",49545,44521,44476,44425,44277,44277,44019
"e05678-A",45306,41066,41055,40889,40785,40785,40401
"e05678-B",38862,35226,35204,35096,34834,34834,34401
"e05678-C",28952,26098,26090,26072,26042,26042,26036
"e05679-A",23656,21478,21430,21411,21338,20814,20812
"e05679-B",28269,25545,25536,25522,25503,25503,25503
"e05679-C",19162,17285,17275,17259,17216,17216,17216
"e05680-A",17845,16143,16135,16121,16103,16103,15994
"e05680-B",18709,16923,16811,16775,14446,14446,14403
"e05680-C",85,73,66,67,6,6,6
"e05681-A",43177,38541,38356,38399,37899,37899,37494
"e05681-B",29310,26187,26172,26125,26073,26073,25897
"e05681-C",18351,16293,16283,16260,16211,16211,16211
"e05682-A",31371,28297,28286,28267,28217,28217,28217
"e05682-B",30920,27830,27685,27707,27238,27238,27088
"e05682-C",27343,24478,24467,24458,24402,24402,24402
"e05683-A",60677,54674,54557,54647,54485,54475,54446
"e05683-B",39780,35883,35795,35785,35542,35542,35499
"e05683-C",296,255,252,245,232,232,232
"e05684-A",41510,37497,37495,37482,37435,37435,37435
"e05684-B",206,170,164,141,141,141,141
"e05684-C",111,103,88,98,11,11,11
"e05685-A",12462,10954,10474,10774,7352,7244,7244
"e05685-B",43368,39132,39060,38987,38592,38592,38202
"e05685-C",14305,12806,12775,12782,12757,12757,12708
"e05686-A",32160,29049,28958,28610,28200,28200,28101
"e05686-B",14372,12989,12983,12973,12858,12849,12849
"e05686-C",28,25,18,20,18,18,18
"e05687-A",85,70,63,53,0,0,0
"e05687-B",24178,21816,21808,21798,21765,21765,21765
"e05687-C",72,62,48,51,0,0,0
"e05688-A",104,92,78,86,37,37,37
"e05688-B",405,373,365,365,15,0,0
"e05688-C",199,178,171,173,144,0,0
"e05689-A",30397,27279,27269,27263,27225,27225,27225
"e05689-B",25,23,19,19,11,11,11
"e05689-C",47,43,34,35,0,0,0
"e05690-A",9,8,2,1,0,0,0
"e05690-B",17045,15411,15275,15367,15000,15000,14874
"e05690-C",31,28,22,21,2,2,2
"e05691-A",32,28,20,21,5,5,5
"e05691-B",18390,16340,16326,16278,16270,16270,14413
"e05691-C",40728,36030,35759,35266,35173,35173,34979
"e05692-A",34159,30702,30682,30675,30630,30630,30630
"e05692-B",1032,922,906,899,634,634,634
"e05692-C",24136,21585,21577,21561,21514,21514,21514
"e05693-A",37387,33746,33621,33661,33468,33468,33381
"e05693-B",8581,7753,7747,7729,7712,7712,7187
"e05693-C",36897,33087,33075,33053,33028,33028,33028
"e05694-A",21,18,9,9,7,7,7
"e05694-B",39,35,28,28,5,5,5
"e05694-C",34417,30969,30740,30846,30518,30518,30360
"e05695-A",33,30,19,24,0,0,0
"e05695-B",20411,18445,18440,18428,18172,18172,18172
"e05695-C",125,109,97,102,66,0,0
"e05696-A",25,24,22,20,0,0,0
"e05696-B",6348,5678,5600,5505,3369,3369,3369
"e05696-C",147,124,121,120,113,106,106
"e05697-A",27,23,16,20,6,6,6
"e05697-B",7,7,6,6,6,6,6
"e05697-C",118,111,110,110,110,110,110
"e05698-A",4027,3612,3607,3603,3603,3603,3595
"e05698-B",4633,3981,3719,3890,3424,17,17
"e05698-C",6,3,1,1,0,0,0
"e05699-A",48,39,33,30,8,8,8
"e05699-B",538,482,467,187,162,9,9
"e05699-C",27367,24617,24609,24597,24577,24577,24576
"e05700-A",4,4,1,2,0,0,0
"e05700-B",59,56,52,48,44,44,44
"e05700-C",161,140,138,97,94,94,94
"e05701-A",15,15,12,12,9,9,9
"e05701-B",2282,2026,2022,2024,2006,2006,2006
"e05701-C",3672,3293,3287,3286,3274,3274,3274
"e05702-A",22,19,15,17,12,12,12
"e05702-B",29,28,24,24,24,24,24
"e05702-C",12147,10923,10910,10908,10876,10876,10826
"NC-A",2,2,1,1,0,0,0
"NC-B",2,2,1,1,1,1,1
"NC-C",60,57,57,57,57,57,57
"PC-A",50390,45669,45661,45622,44838,44838,44795
"PC-B",42450,38327,38316,38267,37392,37392,37358
"PC-C",36134,32665,32661,32631,32594,32594,32594
