"","fastq_ID","input","filtered","denoisedF","denoisedR","merged","nonchim","tax_reads","decon_reads"
"104","e00905_H",13989,13641,13580,13555,13182,11367,11352,11352
"105","e00905_I",29198,28952,28856,28915,28547,23803,23803,23803
"106","e00905_J",23852,23638,23616,23609,23160,19922,19788,19788
"107","e00905_K",22751,22143,22093,22057,21763,17592,17553,17553
"108","e00905_L",20011,19550,19390,19522,18952,16017,16017,16017
"109","e00906_G",25827,25199,25186,25193,25165,25165,24512,24512
"110","e00906_H",18231,17777,17766,17744,17714,17651,17234,17234
"111","e00906_I",41760,41398,41385,41193,41183,41183,41183,41183
"112","e00906_J",20928,20724,20533,20683,20297,18791,18588,18588
"113","e00906_K",23334,22721,22705,22625,22548,22063,22063,22063
"114","e00906_L",18446,17918,17882,17849,17413,15646,15541,15541
"115","e00907_G",20576,20114,20107,20114,20107,20107,20107,20107
"116","e00907_H",20936,20451,20442,20441,20423,20400,20039,20039
"117","e00907_I",25615,25405,25346,25374,24885,23453,23313,23313
"118","e00907_J",34312,33988,33799,33979,33547,33194,32910,32910
"119","e00907_K",20129,19604,19592,19599,19518,19456,19197,19197
"120","e00907_L",29658,28926,28913,28896,28872,28872,28787,28787
"121","e00908_G",26348,25662,25649,25627,25619,25619,25619,25619
"122","e00908_H",43617,42517,42214,42279,42013,41991,41053,41053
"123","e00908_I",26848,26601,26508,26550,25921,24088,24088,24088
"124","e00908_J",30986,30688,30683,30687,30683,30683,30683,30683
"125","e00908_K",23544,22936,22919,22893,22872,22854,22341,22341
"126","e00908_L",38278,37254,37241,37061,37043,36981,36572,36572
"127","e00909_G",27747,27081,27048,27076,27026,26923,26807,26807
"128","e00909_H",35230,34403,34313,34063,33102,29855,29855,29855
"129","e00909_I",4325,3780,2092,2110,2077,1984,1984,1984
"130","e00909_J",40150,39793,39643,39742,39592,39592,39592,39592
"131","e00909_K",20018,19524,19520,19523,19506,19506,19227,19227
"132","e00909_L",36072,35187,35181,35186,35166,35160,35160,35160
"133","e00910_G",3053,2554,32,20,18,18,18,0
"134","e00910_H",22692,21977,20074,20161,19301,12684,12684,12684
"135","e00910_I",6007,5518,3279,3311,3262,3262,3262,3262
"136","e00910_J",34433,34110,34107,34057,34055,34055,34055,34055
"137","e00910_K",27258,26647,26631,26611,26584,26350,25718,25718
"138","e00910_L",26525,25814,25797,25777,25466,22021,21425,21425
"139","e00911_G",33046,32254,32234,32252,31918,28195,28021,28021
"140","e00911_H",32658,31863,31815,31812,31580,29693,29550,29550
"141","e00911_I",27896,27667,27654,27615,27612,27362,27347,27347
"142","e00911_J",9454,9359,9340,9355,9182,7834,7783,7783
"143","e00911_K",22234,21727,21718,21721,21716,21712,21712,21712
"144","e00911_L",20570,19949,18835,18847,18027,17266,17266,17266
"145","e01008_G",3129,2531,230,239,217,217,217,0
"146","e01008_H",56485,55136,55120,55092,52748,52679,52679,52679
"147","e01008_I",2471,1951,235,236,220,107,107,0
"148","e01008_J",4714,4200,2206,2216,2201,2201,2201,2201
"149","e01008_K",2164,1674,183,187,167,167,167,0
"150","e01008_L",40772,39755,39703,39736,38231,37932,37932,37932
