"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"e05669-F",5700,5014,4975,4953,0,0
"e05670-D",6063,5375,5358,5320,0,0
"e05670-E",7480,6638,11,17,11,11
"e05670-F",5187,4564,20,21,17,17
"e05671-D",6367,5540,5346,29,4,4
"e05671-E",7680,6754,6555,3,0,0
"e05671-F",5801,5111,19,4994,0,0
"e05672-D",9796,8580,8360,14,9,9
"e05672-E",54523,48511,48295,48296,48030,47517
"e05672-F",7721,6707,11,9,8,8
"e05673-D",11706,10283,3,122,0,0
"e05673-E",10299,9046,55,16,7,7
"e05673-F",8267,7146,6862,6883,50,50
"e05674-D",9210,8046,9,47,0,0
"e05674-E",9731,8462,8376,2,0,0
"e05674-F",7744,6685,75,44,0,0
"e05675-D",52818,47157,47024,46936,46749,46071
"e05675-E",9593,8453,8184,36,9,9
"e05675-F",59922,53544,53163,53424,53004,52065
"e05676-D",9989,8719,8626,8526,0,0
"e05676-E",9371,8267,7,28,4,4
"e05676-F",7014,6057,5750,97,10,10
"e05677-D",46491,41548,41174,41293,40875,38552
"e05677-E",53740,47841,47680,47621,47409,47112
"e05677-F",50474,45001,44666,44677,44341,43480
"e05678-D",6035,5341,17,5230,15,15
"e05678-E",46839,41753,41298,41437,40972,40711
"e05678-F",44449,39526,39106,39396,39000,38757
"e05679-D",8597,7514,14,32,14,14
"e05679-E",39991,35594,33885,33923,33506,31101
"e05679-F",33873,30228,30067,29999,29635,25965
"e05680-D",35310,31467,31312,31101,30926,29243
"e05680-E",36513,32452,32277,32071,31644,29014
"e05680-F",33659,29888,29626,29687,29405,29262
"e05681-D",24291,21787,21777,21672,21355,19240
"e05681-E",9344,8267,3409,3467,3385,3385
"e05681-F",4976,4389,1282,1275,1273,1273
"e05682-D",34035,30187,29997,29717,29179,26309
"e05682-E",47890,42425,42052,42254,41878,41694
"e05682-F",7030,6096,31,34,28,28
"e05683-D",9744,8496,14,12,0,0
"e05683-E",10943,9504,9444,9332,0,0
"e05683-F",7628,6604,25,33,25,25
"e05684-D",8882,7780,18,14,7,7
"e05684-E",9285,8141,24,24,16,16
"e05684-F",52281,46603,46423,46419,46170,45878
"e05685-D",43521,38746,38360,38448,38059,37895
"e05685-E",8922,7798,38,41,33,33
"e05685-F",6729,5894,42,21,19,19
"e05686-D",5234,4547,14,4466,0,0
"e05686-E",6554,5717,10,21,10,10
"e05686-F",4562,3953,10,13,9,9
"e05687-D",7371,6403,6324,6191,0,0
"e05687-E",7170,6224,4,3,3,3
"e05687-F",5759,5002,5,5,5,5
"e05688-D",7607,6718,6309,6574,0,0
"e05688-E",7593,6671,6619,6556,0,0
"e05688-F",6531,5768,5625,5622,0,0
"e05689-D",7978,6992,4,7,4,4
"e05689-E",7859,6901,6872,6709,0,0
"e05689-F",6031,5290,5176,5,4,4
"e05690-D",8871,7713,9,7402,0,0
"e05690-E",8864,7671,11,13,11,11
"e05690-F",7699,6737,6665,6547,0,0
"e05691-D",8908,7229,7155,62,0,0
"e05691-E",7629,6285,23,5781,0,0
"e05691-F",5383,4421,23,25,22,22
"e05692-D",10820,9433,26,26,18,18
"e05692-E",9606,8401,8205,23,10,10
"e05692-F",50249,44681,44298,44491,44143,43841
"e05693-D",69302,61747,61668,61394,61217,60945
"e05693-E",65726,58405,58083,58005,57642,57382
"e05693-F",8845,7675,70,69,56,56
"e05694-D",5605,4880,4803,13,0,0
"e05694-E",35850,31852,27694,27761,27431,27213
"e05694-F",30711,27329,26982,27014,26719,26447
"e05695-D",5659,4941,14,4859,0,0
"e05695-E",7025,6176,6074,5951,0,0
"e05695-F",5790,5044,4879,5,5,5
"e05696-D",7396,6492,6358,17,17,17
"e05696-E",8974,7810,7661,10,3,3
"e05696-F",6722,5877,2409,5683,0,0
"e05697-D",11123,9686,4,4,4,4
"e05697-E",10908,9503,9438,9304,0,0
"e05697-F",7027,6108,6030,5929,0,0
"e05698-D",8999,7849,7800,7726,0,0
"e05698-E",8561,7497,16,16,16,16
"e05698-F",6693,5793,5774,5712,0,0
"e05699-D",8571,7298,7241,6592,0,0
"e05699-E",9396,7909,18,35,12,12
"e05699-F",6164,5194,5151,4939,0,0
"e05700-D",10072,8654,8606,6877,0,0
"e05700-E",10684,9224,9140,8615,0,0
"e05700-F",6711,5762,5595,36,4,4
"e05701-D",7895,6641,6591,16,0,0
"e05701-E",10514,8846,669,676,651,651
"e05701-F",5011,4219,27,35,25,25
"e05702-D",6094,5334,5256,5275,0,0
"e05702-E",7363,6450,6388,6292,0,0
"e05702-F",5725,5025,4974,4966,0,0
"NC-D",6529,5680,5651,5593,0,0
"NC-E",7781,6694,6539,231,205,205
"NC-F",5944,5114,5103,4878,0,0
"PC-D",35618,31574,30826,31091,30610,30069
"PC-E",40792,36224,35713,35722,35149,34546
"PC-F",39812,35267,34664,34875,34220,33640
